#,Term,Sinhala Term,Tamil Term,Glossary
121,acknowledgment of a right,අයිතියක් පිළිගැනීම,ஓர் உரிமை ஒப்புதல்,Law
122,acquiescence,තුෂ්ණීම්භාවයෙන් පිළිගැනීම; විරුද්ධ නොවීම,ஒப்பிசைவு,Law
123,acquire,අත්කර ගන්නවා,சுவீகரித்தல் ; முயன்றீட்டு; கையகப் படுத்து,Law
124,acquire; hold and dispose,අත්කරගෙන සන්තකව තබාගෙන සුදුස්සක් කිරීම,(உடைமை) கொண்டு; வைத்திருந்து; கையுதிர்த்தல்,Law
125,acquired by purchase,මිලට ගැනීමෙන් අත්කරගත්,கொள்வனவு மூலம் கொள்ளப்பட்டது,Law
126,acquiredestate,අත්කරගත් බූදලය,கொள்ளப்பட்ட மரணச்சொத்து,Law
127,acquired immunity,අත්පත්කරගත් මුක්තිය,தேட்ட எதிர்ப்புச்சக்தி;பெற்ற தடுப்பாற்றல் .,Law
128,acquired property,අත්කරගත් දේපළ,கொள்ளப்பட்ட ஆதனம் தேடிய தேட்டம்,Law
129,acquiring officer,අත්කරගැනීමේ නිලධාරී,கொள்ளுகின்ற அலுவலர்,Law
130,acquisition,අත්කර ගැනීම,கொள்ளல்; கையகப்படுத்தல் முயன்றடைதல்,Law
131,acquisition of domicile,වසතිය ලබාගැනීම,வாழிடம் கொள்ளல்; உறைவிடம்  கொள்ளல் ; கையகப்படுத்தப்பட்ட  சட்டப் படியான நிலவர உரிமை வாழ்விடம்,Law
132,acquisition of gain,ලාභ ඉපයීම,ஈட்டம் கொள்ளல்,Law
133,acquisition of lands,ඉඩම් අත්කර ගැනීම,காணி கொள்ளல்,Law
134,acquisition of possession,සන්තකය අත්කරගැනීම,உடைமை கொள்ளல்,Law
135,acquisition of title of prescription,කාලාවරෝධයෙන් අත්කරගත් අයිතිය,காலக்கழிவால் உரித்துக்கொள்ளல்,Law
136,acquisition proceedings,අත්කරගැනීමේ නීති කෘත්‍ය,கொள்ளல் நடவடிக்கைகள்,Law
137,acquit,නිදොස් කරනවා,குற்றத்தினின்றும் விடுவி; குற்றவிடுதலை செய் ; குற்றவாளி இல்லையென்று கூறு,Law
138,acquit and discharge,නිදොස් කොට නිදහස්  කරනවා,குற்றவிடுவிப்பும் விட்டுவிடுகையும்,Law
139,acquittal,නිදොස් කිරීම,குற்றவிடுவிப்பு,Law
140,acquittance,චෝදනාවෙන් නිදහස් වීම; ණයෙන් නිදහස් වීම,கடன்தீர்ப்பு,Law
141,act,පනත; ක්‍රියාව,சட்டம்; செயல்,Law
142,act judicially,විනිශ්චයකරුවකු වශයෙන් ක‍්‍රියා කරනවා,நீதிமுறையாகச் செயற்படு,Law
143,act of bad faith,අසද්භාවී ක‍්‍රියාව,தீயெண்ண செயல்,Law
144,act of bankruptcy,බංකොලොත්තු ක්‍රියාව,வங்குரோத்துச் செயல்,Law
145,act of cruelty,ක‍්‍රෑර ක‍්‍රියාව,துன்புறுத்தும் செயல்,Law
146,act of God,‍දේව ක්‍රියාව,தெய்வச் செயல்,Law
147,act of gross indecency,බරපතළ අශෝභන ක‍්‍රියාව,மிக இழிந்த செயல்,Law
148,act of honour,ගරු කිරීමේ ක‍්‍රියාව,கௌரவச் செயல்; மதிப்பிற்குரிய செயல்,Law
149,act of insolvency,වස්තුභංගත්ව ක‍්‍රියාව,வகையறுநிலைச் செயல்,Law
150,act of omission,නොකර හැරීම; අකෘතය,தவிர்வுச் செயல்,Law
151,act of Parliament,පාර්ලිමේන්තු පනත,பாராளுமன்றச் சட்டம்,Law
152,act of settlement,ස්ථාපන පනත,உரிமைநிர்ணயச் சட்டம்,Law
153,act of state,රාජ්‍ය ක‍්‍රියාව,அரச செயற்பாடு,Law
154,acting,වැඩ බලන,பதிற் கடமையாற்றும்,Law
155,acting appointment,වැඩබැලීමේ පත්වීම,பதில் நியமனம்,Law
156,action,නඩුව,வழக்கு; நடவடிக்கை; செயல்,Law
157,action for contempt,අපහාස නඩුව,அவமதிப்பு வழக்கு,Law
158,action for damages,අලාභ නඩුව,சேதவீட்டு வழக்கு ; இழப்பீட்டு வழக்கு,Law
159,action for defamation,අපකීර්තියට පත් කිරීම වෙනුවෙන් පවරන නඩුව,அவதூறு வழக்கு,Law
160,action in personal,පුද්ගල නඩුව,ஆள் வழக்கு,Law
161,action in rem,සියලු ‍‍දෙනාම බැ‍‍‍‍‍‍‍‍ඳෙන නඩුව,அனைவரும்  இணைகின்ற வழக்கு,Law
162,action of deceit,වංචා නඩුව,ஏய்ப்பு வழக்கு ;பொய் வழக்கு ;ஏமாற்று வழக்கு,Law
163,actionability,නඩු පැවරිය හැකිබව,வழக்கிடத்தகவு,Law
164,actionable,නඩු පැවරිය හැකි,வழக்கிடத்தகு,Law
165,actionable claim,නඩුපැවරිය හැකි හිමිකම් පෑම,வழக்கிடத்தகு உரிமைக் கோரிக்கை,Law
166,actionable Per Se,එනයින් ම නඩු පැවරිය හැකි,அதுவேயாக வழக்கிடத்தகு,Law
167,actionable wrong,නඩු පැවරිය හැකි වරද,வழக்கிடத்தகு தீங்கு,Law
168,active,සක‍්‍රීය,துடிப்பான; உயிர்ப்பான; செயலுறு,Law
169,active partner,සකී‍්‍රය හවුල්කරු,செயலுறு பங்காளர்,Law
170,active service,සකී‍්‍රය සේවය,உயிர்ப்பான சேவை,Law
171,active trust,සකී‍්‍රය භාරය,செயலுறு நம்பிக்கைப்பொறுப்பு,Law
172,active trustee,සක්‍රීය භාරකාරයා,செயலூக்க நம்பிக்கைப் பொறுப்பு,Law
173,acts of court,අධිකරණයේ ක‍්‍රියා,நீதிமன்றச் செயற்பாடுகள்,Law
174,actual,තත්ත්වාකාර; තථ්‍ය,உள்ளமையான ;உண்மையான ; நிஜமான ; நடைமுறையில் உள்ள ; உள்ளபடியான .,Law
175,actual cost,තථ්‍ය පිරිවැය,உள்ளமையான செலவுத்தொகை (கிரயம்),Law
176,actual possession,තථ්‍ය බුත්තිය; නියම බුත්තිය,உள்ளமையான உடைமை,Law
177,actually,සැබවින්ම,உள்ளமையாக ;  உண்மையாக ; உண்மையில் ; உண்மையிலேயே ; நிஜமாக .,Law
178,actuary,ජීවිත රක්ෂණ උපදේශක,காப்பீட்டுக் கணிப்பாளர்,Law
179,ad valorem,අගය අනුව,பெறுமானத்திற்கு; பெறுமதியிற்கு,Law
180,adapt,අනුවර්තනය කරනවා,இசைவாக்கு; தழுவு; மாற்றியமை,Law
181,adaptation,අනුවර්තනය,இசைவாக்கம்; தழுவல்,Law
182,added party,එකතු කළ පාර්ශ්වකරු,சேர்க்கப்பட்ட திறத்தவர்,Law
183,added plaintiff,එකතු කළ පැමිණිලිකරු,சேர்க்கப்பட்ட வழக்காளி,Law
184,addict,ධූර්තයා,பழக்க அடிமை,Law
185,additional district judge,අතිරේක දිස්ත‍්‍රික් විනිශ්චයකාරවරයා,மேலதிக மாவட்ட நீதிபதி,Law
186,additional district registrar,අතිරේක දිස්ත‍්‍රික් රෙජිස්ට‍්‍රාර්වරයා,மேலதிக மாவட்ட பதிவாளர்,Law
187,additional evidence,අතිරේක සාක්ෂි,மேலதிக சான்று,Law
188,additional magistrate,අතිරේක මහේස්ත‍්‍රාත්,மேலதிக நீதிவான்,Law
189,additional remedy,අතිරේක ප‍්‍රතිකර්මය,மேலதிகப் பரிகாரம்,Law
190,additive,ආකලනය,சேர்க்கும்; கூட்டற்றகவுள்ள ;கூட்டப்படுகிற,Law
191,address,ඇමතීම; ලිපිනය,விளித்துரை; விளி; முகவரி,Law
192,address court,අධිකරණය අමතනවා,நீதிமன்றத்தை விளித்துரைத்தல்,Law
193,address for service,සිතාසි බාර දෙන ලිපිනය,சேவைக்கான முகவரி,Law
194,address the jury,ජූරිය අමතනවා,யூரர் ( நடுவர்)  சபையை விளித்துரை,Law
195,adduce,ඉදිරිපත් කරනවා,முன்வை; சமர்ப்பி; அணை,Law
196,adduced evidence,ඉදිරිපත් කළ සාක්ෂි,அணைக்கப்பட்ட சான்று; சமர்ப்பிக்கப்பட்ட சான்று ;எடுத்துக்காட்டப்பட்ட சான்று,Law
197,ademption,තෙස්තමේන්තු දායදය අහෝසිවීම,மரணசாதனக் கொடை நீக்கல்; விருப்பலைத்தல் ;விருப்ப ஆவணப்பொருளை விற்றாவது அழித்தாவது ஆவணத்தை வறிதாக்கல் .விருப்பாவண கொடைவிலக்கு .,Law
198,adequate,ප‍්‍රමාණවත්,போதிய; போதுமான,Law
199,adhesion,ආසක්තිය; ඇලීම,பிடிப்பு; ஒட்டுதல்; பற்றுதல்,Law
200,adiate,උරුමය භාරගන්නවා,உரிமையேற்றுக்கொள்,Law
201,adjacent,යාබද,அண்டை; அடுத்துள்ள,Law
202,adjectival law,පරිපාටික නීතිය,சார்புநிலைச் சட்டம்,Law
203,adjoining zone,යාබද කලාපය,அடுத்துள்ள வலயம்,Law
204,adjourn,අඩාලව කල්තබනවා,ஒத்திவை; தள்ளிப்போடு,Law
205,adjournment,අඩාලව කල් තැබීම,ஒத்திவைப்பு,Law
206,adjudge,තීන්දු කරනවා,நீதித்தீர்ப்புக்கூறு,Law
207,adjudgment,විනිශ්චය,நீதித் தீர்ப்பு,Law
208,adjudicate,විනිශ්චය කරනවා,நீதித் தீர்ப்பளி,Law
209,adjudication,විනිශ්චය කිරීම,நீதித் தீர்ப்பளிப்பு,Law
210,adjuration,දිවුරවීම,சத்தியத்திற்குட்படுத்தல்,Law
211,adjust,යථාවත් කරනවා; ගලපනවා,சீராக்கு;சரிக்கட்டு,Law
212,adjustment,යථාවත් කරගැනීම; ගලපා ගැනීම,சீராக்கல்; சரிக்கட்டுதல்,Law
213,adjustment of decree,තීන්දු ප‍්‍රකාශය යථාවත් කර ගැනීම,தீர்வையைச் சீராக்கல்,Law
214,administer,පාලනය කරනවා; අද්මිනිස්ත‍්‍රාසි කරනවා,நிருவகி ; நிர்வாகம்செய்,Law
215,administer an oath,දිවුරවනවා,சத்தியம் எடுத்தோதுவி; நிர்வாக ஆணை,Law
216,administer the property,දේපළ පරිපාලනය කරනවා,ஆதனத்தை நிருவகி,Law
217,administration,පරිපාලනය; අද්මිනිස්ත‍්‍රාසනය,"நிருவாகம் ,நிர்வாகம்",Law
218,administration bond,බූදල් ඇපකරය,நிருவாக முறி,Law
219,administration of justice law,යුක්තිය පසිඳලීමේ පනත,நீதி நிருவாகச் சட்டம்,Law
220,administration ofjustice,යුක්තිය පසිඳලීම,நீதி நிருவாகம்,Law
221,administrative appeals tribunal,පරිපාලන අභියාචන විනිශ්චය අධිකාරය,நிருவாக மேன்முறையீட்டு நியாயசபை,Law
222,administrative area,පරිපාලන ප‍්‍රදේශය; පාලන ප‍්‍රදේශය,நிருவாக இடப்பரப்பு,Law
223,administrative body,පරිපාලන මණ්ඩලය,நிருவாகக் குழு,Law
224,administrative law,පරිපාලන නීතිය,நிருவாகச் சட்டம்,Law
225,administrative limit,පරිපාලන සීමාව; පාලන සීමාව,நிருவாக எல்லை,Law
226,administrative quasi law,පරිපාලන අර්ධනීතිය;කුවාසි නීතිය,நிருவாகம் மருவிய சட்டம்; காதி நீதிமன்றச் சட்டம்,Law
227,administrator,අද්මිනිත‍්‍රාසිකරු; පරිපාලකයා,நிருவாகி;  உரிமைத்தத்துவக்காரர்,Law
228,administratrix,අද්මිනිස්ත‍්‍රාසිකාරිය,பெண் நிருவாகி,Law
229,admiralty case,අද්මිරාල්ති නඩුව,கடலாண்மை வழக்கு,Law
230,admiralty jurisdiction,අද්මිරාල්ති අධිකරණ බලය,கடலாண்மை நியாயாதிக்கம்,Law
231,admissibility,ආවේශ්‍යතාව; ඇතුළත් කරගත හැකිබව,ஏற்கத்தக்கத்திறன்,Law
232,admissible,ආවේශ්‍ය,ஏற்கத்தக்க; அனுமதிக்கத்தக்க,Law
233,admissible admission,ඇතුළත් කළහැකි පිළිගැනීම,ஏற்கத்தக்க ஒப்புதல்,Law
234,admissible in evidence,සාක්ෂියට ඇතුළත් කළ හැකි,சான்றாக ஏற்கத்தக்கது,Law
235,admission,පිළිගැනීම,ஒப்புதல் ;ஒப்புக்கொள்ளுதல்,Law
236,admission of guilt,වරද පිළිගැනීම,குற்றத்தை ஒப்புக்கொள்ளுதல்,Law
237,admit,පිළිගන්නවා; ආවේශ්‍ය කරනවා,அனுமதி / சேர்த்துக்கொள் / ஒப்புக்கொள்,Law
238,admit evidence,සාක්ෂි පිළිගන්නවා,சான்றை ஏற்றுக்கொள்,Law
239,admit to bail,ඇප පිට මුදාහරිනවා,பிணையில் விடு,Law
240,admonition,අවවාදය,கடிந்துரை ;கண்டித்துக் கூறல் ; எச்சரிக்கை .,Law
241,adolescent,නවයෞවන,வளரிளம பருவம்; வளர் இளம் பருவத்தினர்,Law
242,adopt,සම්මත කරනවා; දරුකමට හදා ගන්නවා,சுவீகரி; மகவேல்  ;தத்துஎடு,Law
243,adoption,දරුකමට හදා ගැනීම; පිළිගැනීම; භාරගැනීම,தத்து எடுத்தல்; மேற்கொள்; தனதாக்கு; தேர்ந்தெடு,Law
244,Adoption of Children Ordinance,ළමයින් දරුකමට හදාගැනීමේ ආඥා පනත,சிறுவர் மகவேற்புக் கட்டளைச் சட்டம்,Law
245,adoption order,දරුකමට හදා ගැනීමේ ආඥාව,மகவேற்புக் கட்டளை,Law
246,adoptive parent,කුලවද්දන මාපිය,மகவேற்கும் பெற்றார் ;தத்துப்பெற்றோர் .,Law
